C,degree,gamma,kernel,mean_f1,rank
1.0,4,scale,sigmoid,0.772053872053872,1
1.0,6,scale,sigmoid,0.772053872053872,1
1.0,5,scale,sigmoid,0.772053872053872,1
100.0,6,scale,sigmoid,0.6539682539682539,167
100.0,6,auto,sigmoid,0.6861389717177193,107
100.0,5,auto,sigmoid,0.6861389717177193,107
10.0,3,auto,sigmoid,0.667562724014337,137
10.0,2,auto,sigmoid,0.667562724014337,137
10.0,6,auto,sigmoid,0.667562724014337,137
100.0,2,scale,sigmoid,0.6539682539682539,167
100.0,2,auto,sigmoid,0.6861389717177193,107
10.0,5,auto,sigmoid,0.667562724014337,137
100.0,3,scale,sigmoid,0.6539682539682539,167
100.0,4,auto,sigmoid,0.6861389717177193,107
10.0,4,auto,sigmoid,0.667562724014337,137
100.0,3,auto,sigmoid,0.6861389717177193,107
100.0,4,scale,sigmoid,0.6539682539682539,167
100.0,5,scale,sigmoid,0.6539682539682539,167
1.0,5,0.01,sigmoid,0.7081093189964157,18
1.0,2,0.01,sigmoid,0.7081093189964157,18
1.0,4,0.01,sigmoid,0.7081093189964157,18
1.0,3,0.01,sigmoid,0.7081093189964157,18
1.0,6,0.01,sigmoid,0.7081093189964157,18
1.0,3,1.0,poly,0.52236958443855,377
0.1,3,0.1,poly,0.52236958443855,377
100.0,3,scale,poly,0.5102483723173378,386
10.0,3,1.0,poly,0.52236958443855,377
1.0,3,0.1,poly,0.52236958443855,377
0.1,3,1.0,poly,0.52236958443855,377
10.0,3,0.01,poly,0.5102483723173378,386
100.0,3,0.01,poly,0.52236958443855,377
10.0,3,0.1,poly,0.52236958443855,377
100.0,3,1.0,poly,0.52236958443855,377
100.0,3,0.1,poly,0.52236958443855,377
100.0,3,auto,poly,0.5102483723173378,386
100.0,6,0.01,sigmoid,0.6321416497633536,194
100.0,2,0.01,sigmoid,0.6321416497633536,194
100.0,5,0.01,sigmoid,0.6321416497633536,194
100.0,4,0.01,sigmoid,0.6321416497633536,194
100.0,3,0.01,sigmoid,0.6321416497633536,194
1.0,5,1.0,linear,0.6177618478693748,219
1.0,5,auto,linear,0.6177618478693748,219
1.0,5,0.01,linear,0.6177618478693748,219
10.0,2,0.01,linear,0.6523692408591573,172
10.0,2,0.1,linear,0.6523692408591573,172
1.0,3,auto,linear,0.6177618478693748,219
10.0,2,1.0,linear,0.6523692408591573,172
10.0,2,scale,linear,0.6523692408591573,172
10.0,3,scale,linear,0.6523692408591573,172
1.0,3,scale,linear,0.6177618478693748,219
1.0,6,1.0,linear,0.6177618478693748,219
1.0,3,0.1,linear,0.6177618478693748,219
10.0,3,auto,linear,0.6523692408591573,172
1.0,6,0.1,linear,0.6177618478693748,219
10.0,6,scale,linear,0.6523692408591573,172
1.0,2,1.0,linear,0.6177618478693748,219
10.0,3,0.1,linear,0.6523692408591573,172
1.0,4,0.01,linear,0.6177618478693748,219
1.0,2,0.1,linear,0.6177618478693748,219
1.0,6,scale,linear,0.6177618478693748,219
10.0,3,1.0,linear,0.6523692408591573,172
10.0,4,0.1,linear,0.6523692408591573,172
1.0,2,auto,linear,0.6177618478693748,219
1.0,2,0.01,linear,0.6177618478693748,219
10.0,5,scale,linear,0.6523692408591573,172
10.0,4,1.0,linear,0.6523692408591573,172
1.0,4,0.1,linear,0.6177618478693748,219
10.0,2,auto,linear,0.6523692408591573,172
10.0,5,0.01,linear,0.6523692408591573,172
1.0,2,scale,linear,0.6177618478693748,219
1.0,4,auto,linear,0.6177618478693748,219
10.0,4,0.01,linear,0.6523692408591573,172
1.0,3,1.0,linear,0.6177618478693748,219
10.0,5,0.1,linear,0.6523692408591573,172
10.0,5,auto,linear,0.6523692408591573,172
1.0,6,0.01,sigmoid,0.6087942127546088,342
1.0,3,0.01,sigmoid,0.6087942127546088,342
1.0,4,0.01,sigmoid,0.6087942127546088,342
1.0,2,0.01,sigmoid,0.6087942127546088,342
1.0,5,0.01,sigmoid,0.6087942127546088,342
